CAMPUS,CAMPNAME,CDALLS,CPE0312C,CPE0312P,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETPTEC,CPETPTEP,CPETSPEC,CPETSPEP,CPETSTEC,CPETSTEP,C_RATING,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE,REGION,REGNNAME
'001907102,WASHINGTON EARLY CHILDHOOD CENTER,78,0,0,.,.,.,227,0,0,198,87.2,21,9.3,0,0,23,10.1,0,0,C,PALESTINE ISD,'001907,PK,PK,'PK - PK,E,'07,REGION 07: KILGORE
'001907107,SOUTHSIDE EL,78,237,50.6,74,15.2,488,468,0,0,379,81,100,21.4,0,0,67,14.3,0,0,C,PALESTINE ISD,'001907,3,2,'02 - 03,E,'07,REGION 07: KILGORE
'001907110,STORY INT,80,639,100,126,15.9,792,639,0,0,518,81.1,160,25,0,0,98,15.3,0,0,B,PALESTINE ISD,'001907,6,4,'04 - 06,E,'07,REGION 07: KILGORE
'001908002,WESTWOOD H S,85,400,100,76,16.1,471,400,.,0,270,67.5,28,7,0,0,59,14.8,.,0,B,WESTWOOD ISD,'001908,12,9,'09 - 12,S,'07,REGION 07: KILGORE
'001908041,WESTWOOD J H,77,206,100,36,16.7,216,206,.,0,160,77.7,15,7.3,.,0,37,18,.,0,C,WESTWOOD ISD,'001908,8,7,'07 - 08,M,'07,REGION 07: KILGORE
'001908101,WESTWOOD EL,83,384,100,73,17.3,423,384,.,0,286,74.5,31,8.1,.,0,68,17.7,.,0,B,WESTWOOD ISD,'001908,6,3,'03 - 06,E,'07,REGION 07: KILGORE
'001908102,WESTWOOD PRI,83,0,0,50,21.7,230,342,.,0,270,78.9,21,6.1,.,0,29,8.5,.,0,B,WESTWOOD ISD,'001908,2,EE,'EE - 02,E,'07,REGION 07: KILGORE
'001909001,SLOCUM H S,92,104,100,9,7.2,125,104,0,0,35,33.7,0,0,0,0,12,11.5,0,0,A,SLOCUM ISD,'001909,12,9,'09 - 12,S,'07,REGION 07: KILGORE
'001909101,SLOCUM PK - 8,81,169,65.8,40,17.9,223,257,0,0,134,52.1,2,0.8,0,0,41,16,0,0,B,SLOCUM ISD,'001909,8,PK,'PK - 08,E,'07,REGION 07: KILGORE
'002901001,ANDREWS H S,86,1151,100,150,12.3,1218,1151,.,0,517,44.9,92,8,0,0,139,12.1,.,0,B,ANDREWS ISD,'002901,12,9,'09 - 12,S,'18,REGION 18: MIDLAND
